Genome	Species	Type	nhr.file	nin.file	nsq.file
Tie Feng No.18	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Genome/Tie_Feng_No.18.nhr' target='_blank'>Tie Feng No.18.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Tie_Feng_No.18.nin' target='_blank'>Tie Feng No.18.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Tie_Feng_No.18.nsq' target='_blank'>Tie Feng No.18.nsq</a>
Wan Dou No.28	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Genome/Wan_Dou_No.28.nhr' target='_blank'>Wan Dou No.28.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Wan_Dou_No.28.nin' target='_blank'>Wan Dou No.28.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Wan_Dou_No.28.nsq' target='_blank'>Wan Dou No.28.nsq</a>
Williams 82	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Genome/Williams_82.nhr' target='_blank'>Williams 82.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Williams_82.nin' target='_blank'>Williams 82.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Williams_82.nsq' target='_blank'>Williams 82.nsq</a>
Xu Dou No.1	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Genome/Xu_Dou_No.1.nhr' target='_blank'>Xu Dou No.1.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Xu_Dou_No.1.nin' target='_blank'>Xu Dou No.1.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Xu_Dou_No.1.nsq' target='_blank'>Xu Dou No.1.nsq</a>
Yu Dou No.22	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Genome/Yu_Dou_No.22.nhr' target='_blank'>Yu Dou No.22.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Yu_Dou_No.22.nin' target='_blank'>Yu Dou No.22.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Yu_Dou_No.22.nsq' target='_blank'>Yu Dou No.22.nsq</a>
Tianlong1	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Genome/Tianlong1.nhr' target='_blank'>Tianlong1.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Tianlong1.nin' target='_blank'>Tianlong1.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Tianlong1.nsq' target='_blank'>Tianlong1.nsq</a>
Zhonghuang 13	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Genome/Zhonghuang_13.nhr' target='_blank'>Zhonghuang 13.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Zhonghuang_13.nin' target='_blank'>Zhonghuang 13.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Zhonghuang_13.nsq' target='_blank'>Zhonghuang 13.nsq</a>
Glycine cyrtoloba	Glycine cyrtoloba	Perennial Glycine	<a href='SoybeanGDB_blastdb/Genome/Glycine_cyrtoloba.nhr' target='_blank'>Glycine cyrtoloba.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Glycine_cyrtoloba.nin' target='_blank'>Glycine cyrtoloba.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Glycine_cyrtoloba.nsq' target='_blank'>Glycine cyrtoloba.nsq</a>
Glycine dolichocarpa	Glycine dolichocarpa	Perennial Glycine	<a href='SoybeanGDB_blastdb/Genome/Glycine_dolichocarpa.nhr' target='_blank'>Glycine dolichocarpa.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Glycine_dolichocarpa.nin' target='_blank'>Glycine dolichocarpa.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Glycine_dolichocarpa.nsq' target='_blank'>Glycine dolichocarpa.nsq</a>
Glycine falcata	Glycine falcata	Perennial Glycine	<a href='SoybeanGDB_blastdb/Genome/Glycine_falcata.nhr' target='_blank'>Glycine falcata.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Glycine_falcata.nin' target='_blank'>Glycine falcata.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Glycine_falcata.nsq' target='_blank'>Glycine falcata.nsq</a>
Glycine stenophita	Glycine stenophita	Perennial Glycine	<a href='SoybeanGDB_blastdb/Genome/Glycine_stenophita.nhr' target='_blank'>Glycine stenophita.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Glycine_stenophita.nin' target='_blank'>Glycine stenophita.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Glycine_stenophita.nsq' target='_blank'>Glycine stenophita.nsq</a>
Glycine syndetika	Glycine syndetika	Perennial Glycine	<a href='SoybeanGDB_blastdb/Genome/Glycine_syndetika.nhr' target='_blank'>Glycine syndetika.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Glycine_syndetika.nin' target='_blank'>Glycine syndetika.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Glycine_syndetika.nsq' target='_blank'>Glycine syndetika.nsq</a>
Glycine tomentella D3	Glycine tomentella D3	Perennial Glycine	<a href='SoybeanGDB_blastdb/Genome/Glycine_tomentella_D3.nhr' target='_blank'>Glycine tomentella D3.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Glycine_tomentella_D3.nin' target='_blank'>Glycine tomentella D3.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Glycine_tomentella_D3.nsq' target='_blank'>Glycine tomentella D3.nsq</a>
