Genome	Species	Type	Genomic seq	CDS	cDNA	Protein	Gene annotation	Transcription factors/regulators	Transposable elements	GO Annotation	KEGG Annotation
Tong Shan Tian E Dan	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_download/Tong_Shan_Tian_E_Dan.fasta.gz' target='_blank'>Tong Shan Tian E Dan.fasta.gz</a>	<a href='SoybeanGDB_download/Tong_Shan_Tian_E_Dan.cds.fasta.gz' target='_blank'>Tong Shan Tian E Dan.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Tong_Shan_Tian_E_Dan.cdna.fasta.gz' target='_blank'>Tong Shan Tian E Dan.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Tong_Shan_Tian_E_Dan.protein.fasta.gz' target='_blank'>Tong Shan Tian E Dan.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Tong_Shan_Tian_E_Dan.gff.gz' target='_blank'>Tong Shan Tian E Dan.gff.gz</a>	<a href='SoybeanGDB_download/Tong_Shan_Tian_E_Dan_tf_classification.txt.gz' target='_blank'>Tong Shan Tian E Dan tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Tong_Shan_Tian_E_Dan.TE.txt.gz' target='_blank'>Tong Shan Tian E Dan.TE.txt.gz</a>	<a href='SoybeanGDB_download/Tong_Shan_Tian_E_Dan.GO.txt.gz' target='_blank'>Tong Shan Tian E Dan.GO.txt.gz</a>	<a href='SoybeanGDB_download/Tong_Shan_Tian_E_Dan.KEGG.txt.gz' target='_blank'>Tong Shan Tian E Dan.KEGG.txt.gz</a>
Zhang Chun Man Cang Jin	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_download/Zhang_Chun_Man_Cang_Jin.fasta.gz' target='_blank'>Zhang Chun Man Cang Jin.fasta.gz</a>	<a href='SoybeanGDB_download/Zhang_Chun_Man_Cang_Jin.cds.fasta.gz' target='_blank'>Zhang Chun Man Cang Jin.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Zhang_Chun_Man_Cang_Jin.cdna.fasta.gz' target='_blank'>Zhang Chun Man Cang Jin.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Zhang_Chun_Man_Cang_Jin.protein.fasta.gz' target='_blank'>Zhang Chun Man Cang Jin.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Zhang_Chun_Man_Cang_Jin.gff.gz' target='_blank'>Zhang Chun Man Cang Jin.gff.gz</a>	<a href='SoybeanGDB_download/Zhang_Chun_Man_Cang_Jin_tf_classification.txt.gz' target='_blank'>Zhang Chun Man Cang Jin tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Zhang_Chun_Man_Cang_Jin.TE.txt.gz' target='_blank'>Zhang Chun Man Cang Jin.TE.txt.gz</a>	<a href='SoybeanGDB_download/Zhang_Chun_Man_Cang_Jin.GO.txt.gz' target='_blank'>Zhang Chun Man Cang Jin.GO.txt.gz</a>	<a href='SoybeanGDB_download/Zhang_Chun_Man_Cang_Jin.KEGG.txt.gz' target='_blank'>Zhang Chun Man Cang Jin.KEGG.txt.gz</a>
Zhutwinning2	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_download/Zhutwinning2.fasta.gz' target='_blank'>Zhutwinning2.fasta.gz</a>	<a href='SoybeanGDB_download/Zhutwinning2.cds.fasta.gz' target='_blank'>Zhutwinning2.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Zhutwinning2.cdna.fasta.gz' target='_blank'>Zhutwinning2.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Zhutwinning2.protein.fasta.gz' target='_blank'>Zhutwinning2.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Zhutwinning2.gff.gz' target='_blank'>Zhutwinning2.gff.gz</a>	<a href='SoybeanGDB_download/Zhutwinning2_tf_classification.txt.gz' target='_blank'>Zhutwinning2 tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Zhutwinning2.TE.txt.gz' target='_blank'>Zhutwinning2.TE.txt.gz</a>	<a href='SoybeanGDB_download/Zhutwinning2.GO.txt.gz' target='_blank'>Zhutwinning2.GO.txt.gz</a>	<a href='SoybeanGDB_download/Zhutwinning2.KEGG.txt.gz' target='_blank'>Zhutwinning2.KEGG.txt.gz</a>
Zi Hua No.4	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_download/Zi_Hua_No.4.fasta.gz' target='_blank'>Zi Hua No.4.fasta.gz</a>	<a href='SoybeanGDB_download/Zi_Hua_No.4.cds.fasta.gz' target='_blank'>Zi Hua No.4.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Zi_Hua_No.4.cdna.fasta.gz' target='_blank'>Zi Hua No.4.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Zi_Hua_No.4.protein.fasta.gz' target='_blank'>Zi Hua No.4.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Zi_Hua_No.4.gff.gz' target='_blank'>Zi Hua No.4.gff.gz</a>	<a href='SoybeanGDB_download/Zi_Hua_No.4_tf_classification.txt.gz' target='_blank'>Zi Hua No.4 tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Zi_Hua_No.4.TE.txt.gz' target='_blank'>Zi Hua No.4.TE.txt.gz</a>	<a href='SoybeanGDB_download/Zi_Hua_No.4.GO.txt.gz' target='_blank'>Zi Hua No.4.GO.txt.gz</a>	<a href='SoybeanGDB_download/Zi_Hua_No.4.KEGG.txt.gz' target='_blank'>Zi Hua No.4.KEGG.txt.gz</a>
Lee	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_download/Lee.fasta.gz' target='_blank'>Lee.fasta.gz</a>	<a href='SoybeanGDB_download/Lee.cds.fasta.gz' target='_blank'>Lee.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Lee.cdna.fasta.gz' target='_blank'>Lee.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Lee.protein.fasta.gz' target='_blank'>Lee.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Lee.gff.gz' target='_blank'>Lee.gff.gz</a>	<a href='SoybeanGDB_download/Lee_tf_classification.txt.gz' target='_blank'>Lee tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Lee.TE.txt.gz' target='_blank'>Lee.TE.txt.gz</a>	<a href='SoybeanGDB_download/Lee.GO.txt.gz' target='_blank'>Lee.GO.txt.gz</a>	<a href='SoybeanGDB_download/Lee.KEGG.txt.gz' target='_blank'>Lee.KEGG.txt.gz</a>
Amsoy	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_download/Amsoy.fasta.gz' target='_blank'>Amsoy.fasta.gz</a>	<a href='SoybeanGDB_download/Amsoy.cds.fasta.gz' target='_blank'>Amsoy.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Amsoy.cdna.fasta.gz' target='_blank'>Amsoy.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Amsoy.protein.fasta.gz' target='_blank'>Amsoy.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Amsoy.gff.gz' target='_blank'>Amsoy.gff.gz</a>	<a href='SoybeanGDB_download/Amsoy_tf_classification.txt.gz' target='_blank'>Amsoy tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Amsoy.TE.txt.gz' target='_blank'>Amsoy.TE.txt.gz</a>	<a href='SoybeanGDB_download/Amsoy.GO.txt.gz' target='_blank'>Amsoy.GO.txt.gz</a>	<a href='SoybeanGDB_download/Amsoy.KEGG.txt.gz' target='_blank'>Amsoy.KEGG.txt.gz</a>
Dong Nong No.50	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_download/Dong_Nong_No.50.fasta.gz' target='_blank'>Dong Nong No.50.fasta.gz</a>	<a href='SoybeanGDB_download/Dong_Nong_No.50.cds.fasta.gz' target='_blank'>Dong Nong No.50.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Dong_Nong_No.50.cdna.fasta.gz' target='_blank'>Dong Nong No.50.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Dong_Nong_No.50.protein.fasta.gz' target='_blank'>Dong Nong No.50.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Dong_Nong_No.50.gff.gz' target='_blank'>Dong Nong No.50.gff.gz</a>	<a href='SoybeanGDB_download/Dong_Nong_No.50_tf_classification.txt.gz' target='_blank'>Dong Nong No.50 tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Dong_Nong_No.50.TE.txt.gz' target='_blank'>Dong Nong No.50.TE.txt.gz</a>	<a href='SoybeanGDB_download/Dong_Nong_No.50.GO.txt.gz' target='_blank'>Dong Nong No.50.GO.txt.gz</a>	<a href='SoybeanGDB_download/Dong_Nong_No.50.KEGG.txt.gz' target='_blank'>Dong Nong No.50.KEGG.txt.gz</a>
Han Dou No.5	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_download/Han_Dou_No.5.fasta.gz' target='_blank'>Han Dou No.5.fasta.gz</a>	<a href='SoybeanGDB_download/Han_Dou_No.5.cds.fasta.gz' target='_blank'>Han Dou No.5.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Han_Dou_No.5.cdna.fasta.gz' target='_blank'>Han Dou No.5.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Han_Dou_No.5.protein.fasta.gz' target='_blank'>Han Dou No.5.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Han_Dou_No.5.gff.gz' target='_blank'>Han Dou No.5.gff.gz</a>	<a href='SoybeanGDB_download/Han_Dou_No.5_tf_classification.txt.gz' target='_blank'>Han Dou No.5 tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Han_Dou_No.5.TE.txt.gz' target='_blank'>Han Dou No.5.TE.txt.gz</a>	<a href='SoybeanGDB_download/Han_Dou_No.5.GO.txt.gz' target='_blank'>Han Dou No.5.GO.txt.gz</a>	<a href='SoybeanGDB_download/Han_Dou_No.5.KEGG.txt.gz' target='_blank'>Han Dou No.5.KEGG.txt.gz</a>
Hei He No.43	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_download/Hei_He_No.43.fasta.gz' target='_blank'>Hei He No.43.fasta.gz</a>	<a href='SoybeanGDB_download/Hei_He_No.43.cds.fasta.gz' target='_blank'>Hei He No.43.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Hei_He_No.43.cdna.fasta.gz' target='_blank'>Hei He No.43.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Hei_He_No.43.protein.fasta.gz' target='_blank'>Hei He No.43.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Hei_He_No.43.gff.gz' target='_blank'>Hei He No.43.gff.gz</a>	<a href='SoybeanGDB_download/Hei_He_No.43_tf_classification.txt.gz' target='_blank'>Hei He No.43 tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Hei_He_No.43.TE.txt.gz' target='_blank'>Hei He No.43.TE.txt.gz</a>	<a href='SoybeanGDB_download/Hei_He_No.43.GO.txt.gz' target='_blank'>Hei He No.43.GO.txt.gz</a>	<a href='SoybeanGDB_download/Hei_He_No.43.KEGG.txt.gz' target='_blank'>Hei He No.43.KEGG.txt.gz</a>
Ke Shan No.1	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_download/Ke_Shan_No.1.fasta.gz' target='_blank'>Ke Shan No.1.fasta.gz</a>	<a href='SoybeanGDB_download/Ke_Shan_No.1.cds.fasta.gz' target='_blank'>Ke Shan No.1.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Ke_Shan_No.1.cdna.fasta.gz' target='_blank'>Ke Shan No.1.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Ke_Shan_No.1.protein.fasta.gz' target='_blank'>Ke Shan No.1.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Ke_Shan_No.1.gff.gz' target='_blank'>Ke Shan No.1.gff.gz</a>	<a href='SoybeanGDB_download/Ke_Shan_No.1_tf_classification.txt.gz' target='_blank'>Ke Shan No.1 tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Ke_Shan_No.1.TE.txt.gz' target='_blank'>Ke Shan No.1.TE.txt.gz</a>	<a href='SoybeanGDB_download/Ke_Shan_No.1.GO.txt.gz' target='_blank'>Ke Shan No.1.GO.txt.gz</a>	<a href='SoybeanGDB_download/Ke_Shan_No.1.KEGG.txt.gz' target='_blank'>Ke Shan No.1.KEGG.txt.gz</a>
Ji Dou No.17	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_download/Ji_Dou_No.17.fasta.gz' target='_blank'>Ji Dou No.17.fasta.gz</a>	<a href='SoybeanGDB_download/Ji_Dou_No.17.cds.fasta.gz' target='_blank'>Ji Dou No.17.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Ji_Dou_No.17.cdna.fasta.gz' target='_blank'>Ji Dou No.17.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Ji_Dou_No.17.protein.fasta.gz' target='_blank'>Ji Dou No.17.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Ji_Dou_No.17.gff.gz' target='_blank'>Ji Dou No.17.gff.gz</a>	<a href='SoybeanGDB_download/Ji_Dou_No.17_tf_classification.txt.gz' target='_blank'>Ji Dou No.17 tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Ji_Dou_No.17.TE.txt.gz' target='_blank'>Ji Dou No.17.TE.txt.gz</a>	<a href='SoybeanGDB_download/Ji_Dou_No.17.GO.txt.gz' target='_blank'>Ji Dou No.17.GO.txt.gz</a>	<a href='SoybeanGDB_download/Ji_Dou_No.17.KEGG.txt.gz' target='_blank'>Ji Dou No.17.KEGG.txt.gz</a>
Jin Dou No.23	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_download/Jin_Dou_No.23.fasta.gz' target='_blank'>Jin Dou No.23.fasta.gz</a>	<a href='SoybeanGDB_download/Jin_Dou_No.23.cds.fasta.gz' target='_blank'>Jin Dou No.23.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Jin_Dou_No.23.cdna.fasta.gz' target='_blank'>Jin Dou No.23.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Jin_Dou_No.23.protein.fasta.gz' target='_blank'>Jin Dou No.23.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Jin_Dou_No.23.gff.gz' target='_blank'>Jin Dou No.23.gff.gz</a>	<a href='SoybeanGDB_download/Jin_Dou_No.23_tf_classification.txt.gz' target='_blank'>Jin Dou No.23 tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Jin_Dou_No.23.TE.txt.gz' target='_blank'>Jin Dou No.23.TE.txt.gz</a>	<a href='SoybeanGDB_download/Jin_Dou_No.23.GO.txt.gz' target='_blank'>Jin Dou No.23.GO.txt.gz</a>	<a href='SoybeanGDB_download/Jin_Dou_No.23.KEGG.txt.gz' target='_blank'>Jin Dou No.23.KEGG.txt.gz</a>
Ju Xuan No.23	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_download/Ju_Xuan_No.23.fasta.gz' target='_blank'>Ju Xuan No.23.fasta.gz</a>	<a href='SoybeanGDB_download/Ju_Xuan_No.23.cds.fasta.gz' target='_blank'>Ju Xuan No.23.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Ju_Xuan_No.23.cdna.fasta.gz' target='_blank'>Ju Xuan No.23.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Ju_Xuan_No.23.protein.fasta.gz' target='_blank'>Ju Xuan No.23.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Ju_Xuan_No.23.gff.gz' target='_blank'>Ju Xuan No.23.gff.gz</a>	<a href='SoybeanGDB_download/Ju_Xuan_No.23_tf_classification.txt.gz' target='_blank'>Ju Xuan No.23 tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Ju_Xuan_No.23.TE.txt.gz' target='_blank'>Ju Xuan No.23.TE.txt.gz</a>	<a href='SoybeanGDB_download/Ju_Xuan_No.23.GO.txt.gz' target='_blank'>Ju Xuan No.23.GO.txt.gz</a>	<a href='SoybeanGDB_download/Ju_Xuan_No.23.KEGG.txt.gz' target='_blank'>Ju Xuan No.23.KEGG.txt.gz</a>
